"doi";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall"
"10.1016/j.ijrobp.2004.01.002";"closed";"closed";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2004-07-01"
"10.1016/j.jcrs.2008.05.048";"closed";"closed";"0886-3350";"Journal of Cataract and Refractive Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2008-10-01"
"10.1016/j.biopsych.2010.04.039";"closed";"closed";"0006-3223";"Biological Psychiatry";"Elsevier BV";"2010-10-01"
"10.1111/j.1600-6143.2010.03073.x";"green";"green";"1600-6135";"American Journal of Transplantation";"Elsevier BV";"2010-08-01"
"10.1016/j.ijrobp.2010.05.036";"green";"green";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2011-03-01"
"10.1016/j.neuropsychologia.2010.12.030";"closed";"closed";"0028-3932";"Neuropsychologia";"Elsevier BV";"2011-02-01"
"10.1111/j.1365-2141.2010.08480.x";"green";"green";"0007-1048";"British Journal of Haematology";"Wiley";"2011-04-08"
"10.1210/jc.2011-1251";"bronze";"green";"0021-972X,1945-7197";"The Journal of Clinical Endocrinology &amp; Metabolism";"The Endocrine Society";"2011-10-01"
"10.1093/neuonc/nor199";"hybrid";"hybrid";"1522-8517,1523-5866";"Neuro-Oncology";"Oxford University Press (OUP)";"2011-11-09"
"10.1118/1.3685462";"green";"green";"0094-2405";"Medical Physics";"Wiley";"2012-02-23"
"10.1056/nejmoa1113538";"green";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2012-06-07"
"10.1016/j.neuropharm.2012.07.048";"green";"green";"0028-3908";"Neuropharmacology";"Elsevier BV";"2013-01-01"
"10.1161/circep.112.971275";"bronze";"bronze";"1941-3149,1941-3084";"Circulation: Arrhythmia and Electrophysiology";"Ovid Technologies (Wolters Kluwer Health)";"2012-12-01"
"10.1111/dme.12120";"bronze";"green";"0742-3071,1464-5491";"Diabetic Medicine";"Wiley";"2013-03-07"
"10.1097/qad.0b013e3283601b53";"bronze";"green";"0269-9370";"AIDS";"Ovid Technologies (Wolters Kluwer Health)";"2013-06-01"
"10.1007/s10461-013-0429-9";"hybrid";"hybrid";"1090-7165,1573-3254";"AIDS and Behavior";"Springer Science and Business Media LLC";"2013-02-23"
"10.1097/rlu.0b013e3182815f64";"closed";"closed";"0363-9762";"Clinical Nuclear Medicine";"Ovid Technologies (Wolters Kluwer Health)";"2013-07-01"
"10.1007/s11606-013-2484-3";"hybrid";"hybrid";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";"2013-05-07"
"10.1016/j.cct.2013.06.014";"green";"green";"1551-7144";"Contemporary Clinical Trials";"Elsevier BV";"2013-09-01"
"10.1016/s1470-2045(13)70294-8";"green";"green";"1470-2045";"The Lancet Oncology";"Elsevier BV";"2013-08-01"
"10.1021/mp4003738";"green";"green";"1543-8384,1543-8392";"Molecular Pharmaceutics";"American Chemical Society (ACS)";"2013-09-10"
