Variable,Definition,Source
id,Trial registration number  - ClinicalTrials.gov NCT id,AACT database
pmid,Publication PMID or URL,Manually entered during publication search
doi,Publication DOI,Manually entered during publication search or extracted using  PMID (see methods)
any_paper,"(0=no paper, 1=article, 2=non-publication equivalent like abstract or poster)",Manually entered during publication search
publication_found,"(1=linked in registry, 2=google search - trial number,  3=google search - PI + intervention, 4=google either via trial number or search terms)",Manually entered during publication search
publication_date,Publication date,Manually entered during publication search or extracted using  PMID (see methods)
last_update_submitted_date,Last date of update on the ClinicalTrials.gov,AACT database
registration_date,Date of study submission to ClinicalTrials.gov,AACT database
summary_results_date,"Date of summary results in ClinicalTrials.gov - date of submission to registry, derived from `results_first_submitted_date` (field previously called `first_received_results_date`). ",AACT database
study_type,Trial study type as listed in the registry on `registry_download_date`.,AACT database
phase,Trial phase as listed on the ClinicalTrials.gov,AACT database
enrollment,Number of trial participants as listed on the ClinicalTrials.gov,AACT database
recruitment_status,Recruitment status as listed on the ClinicalTrials.gov,AACT database
title,Title of the trial - `brief_title` on ClinicalTrials.gov,AACT database
start_date,"Date of the study start. ClinicalTrials.gov previously allowed start dates without day, in which case date is defaulted to first of the month.",AACT database
completion_date,"Date of the study completion. ClinicalTrials.gov previously allowed completion dates without day, in which case date is defaulted to first of the month.",AACT database
primary_completion_date,"Date of the study primary completion. ClinicalTrials.gov previously allowed primary completion dates without day, in which case date is defaulted to first of the month.",AACT database
has_summary_results,Whether summary results were posted on registry. ClinicalTrials.gov includes a structured summary results field. ,AACT database
allocation,Trial allocation as listed on ClinicalTrials.gov,AACT database
masking,Trial masking as listed on ClinicalTrials.gov,AACT database
main_sponsor,Sourced from ClinicalTrials.gov `agency_class` in `sponsors` datatable,"AACT database, this already contains about as much as we can easily get on funder information, anything else would require a lot of curation. With the addition of other sponsor info this column can be deleted from the main xlsx table"
is_multicentric,Whether multiple study centers are involved. Derived from `has_single_facility` on ClinicalTrials.gov.,AACT database
principal_investigator_1,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
principal_investigator_2,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
principal_investigator_3,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
study_chair_1,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
study_chair_2,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
study_director_1,Extracted from `investigators` field on ClinicalTrials.gov.,AACT database
registration_year,Date of study submission to registry,AACT database
start_year,"Study start date. ClinicalTrials.gov previously allowed start dates without day, in which case date is defaulted to first of the month.",AACT database
completion_year,Year of the study completion. Derived from `completion_date`.,AACT database
